,ProductName,SpendEUR,Quantity,UOM,VendorName,VendorCity,VendorCountry,CategoryL1,CategoryL2,Quantity/kg
37,BEEF CUT OPPHNT.,78612.713403,6047.131800230769,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,6047.131800230769
38,BEEF CUT OPPHNT.,35895.373605,2761.182585,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,2761.182585
39,BEEF CUT OPPHNT.,36289.82826,2791.5252507692308,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,2791.5252507692308
40,BEEF CUT OPPHNT.,42012.845994,3231.7573841538465,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,3231.7573841538465
41,BEEF CUT OPPHNT.,101291.314761,7791.639597,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,7791.639597
42,BEEF CUT OPPHNT.,10471.99765,805.5382807692308,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,805.5382807692308
44,BEEF CUT OPPHNT.,25307.746601,1946.7497385384613,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,1946.7497385384613
45,BEEF CUT OPPHNT.,97571.065956,7505.466612,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,7505.466612
46,BEEF CUT OPPHNT.,14277.711630000002,1098.28551,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,1098.28551
47,BEEF CUT OPPHNT.,4653.073294,357.9287149230769,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,357.9287149230769
48,BEEF CUT OPPHNT.,99516.931763,7655.148597153847,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,7655.148597153847
49,BEEF CUT OPPHNT.,99034.636365,7618.048951153846,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,7618.048951153846
51,BEEF CUT OPPHNT.,10103.34276,777.1802123076922,KG,Alpenrind GmbH,Salzburg,AT,Raw Materials,Meat,777.1802123076922
52,PLASTIC BOTTLES FRCKJX.,4299.153724,7563.672809610421,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,48029.32234102617
53,PLASTIC BOTTLES FRCKJX.,2047.208869,3601.7363072194735,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,22871.025550843657
54,PLASTIC CAP UUVPTM.,807.036858,1462.9797322332995,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,9289.921299681451
55,PLASTIC CAP UUVPTM.,1614.08365,2925.9774726164333,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,18579.95695111435
56,PLASTIC CAP UUVPTM.,1614.08365,2925.9774726164333,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,18579.95695111435
57,PLASTIC BOTTLES FRCKJX.,7497.204445999998,13190.131141330774,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,83757.3327474504
58,PLASTIC BOTTLES FRCKJX.,7497.204445999998,13190.131141330774,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,83757.3327474504
59,PLASTIC BOTTLES FRCKJX.,7497.204445999998,13190.131141330774,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,83757.3327474504
60,PLASTIC CAP UUVPTM.,1204.182087,2182.9163931437147,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,13861.519096462587
62,PLASTIC CAP UUVPTM.,1154.935085,2093.642446006033,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,13294.62953213831
63,PLASTIC CAP UUVPTM.,1539.92007,2791.5352679831185,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,17726.2489516928
64,PLASTIC CAP UUVPTM.,808.199234,1465.0868634161911,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,9303.301582692813
66,PLASTIC CAP UUVPTM.,433.645831,786.104197635626,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,4991.761654986224
67,PLASTIC CAP UUVPTM.,433.645831,786.104197635626,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,4991.761654986224
68,PLASTIC CAP UUVPTM.,1734.593259,3144.434800505117,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,19967.16098320749
70,PLASTIC CAP UUVPTM.,807.036858,1462.9797322332995,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,9289.921299681451
71,PLASTIC CAP UUVPTM.,807.036858,1462.9797322332995,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,9289.921299681451
72,PLASTIC CAP UUVPTM.,403.523396,731.4988701915664,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,4645.017825716446
73,PLASTIC BOTTLES AIDTIS.,7782.978315999998,9784.369963693898,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,62130.74926945625
74,PLASTIC BOTTLES AIDTIS.,1702.527422,2140.332080321577,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,13591.108710042014
75,PLASTIC BOTTLES AIDTIS.,2432.17645,3057.610240910204,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,19415.825029779793
76,PLASTIC BOTTLES AIDTIS.,943.367333,1185.9540940464854,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,7530.808497195181
77,PLASTIC BOTTLES AIDTIS.,5835.091963,7335.584941923775,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,46580.96438121597
78,PLASTIC BOTTLES AIDTIS.,1006.0526960000001,1264.7589882653947,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,8031.2195754852555
79,PLASTIC BOTTLES AIDTIS.,223.565095,281.05482395492425,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,1784.698132113769
80,PLASTIC BOTTLES AIDTIS.,983.653205,1236.5994716839493,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,7852.406645193078
81,PLASTIC BOTTLES AIDTIS.,5901.90946,7419.584547749738,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,47114.36187821083
82,PLASTIC BOTTLES AIDTIS.,4332.430915,5446.51484218588,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,34585.369247880335
83,PLASTIC BOTTLES AIDTIS.,3465.942778,4357.209417277913,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,27668.27979971475
84,PLASTIC BOTTLES EZVCBV.,4658.326226,8582.54737465779,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,54499.175829076965
85,PLASTIC BOTTLES EZVCBV.,5822.907783,10728.184219243441,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,68123.96979219584
86,PLASTIC BOTTLES EZVCBV.,3187.213279,5872.153995458688,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,37288.17787116267
87,PLASTIC BOTTLES EZVCBV.,3566.098832,6570.216572108277,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,41720.875232887556
88,PLASTIC BOTTLES PILCDX.,7514.731224,11595.276389811912,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,73630.00507530564
89,PLASTIC BOTTLES PILCDX.,7666.204574999998,11829.000699861299,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,75114.15444411924
90,PLASTIC BOTTLES VRAJSE.,547.051159,860.3458674134835,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,5463.19625807562
91,PLASTIC BOTTLES VRAJSE.,4376.40927,6882.766936162473,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,43705.5700446317
92,PLASTIC BOTTLES VRAJSE.,4080.170913,6416.873679158496,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,40747.14786265645
93,PLASTIC BOTTLES KUXPVA.,425.02010700000005,699.4276510181239,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,4441.365583965086
94,PLASTIC BOTTLES KUXPVA.,425.02010700000005,699.4276510181239,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,4441.365583965086
95,PLASTIC BOTTLES KUXPVA.,425.02010700000005,699.4276510181239,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,4441.365583965086
96,PLASTIC BOTTLES KUXPVA.,283.346738,466.28510067874925,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,2960.9103893100573
97,PLASTIC BOTTLES KUXPVA.,583.388872,960.0447170681102,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,6096.2839533825
98,PLASTIC CAP UUVPTM.,403.523396,731.4988701915664,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,4645.017825716446
99,PLASTIC CAP UUVPTM.,1644.981003,2981.98755539094,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,18935.62097673247
100,PLASTIC CAP UUVPTM.,2056.22377,3727.4799417480212,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,23669.497630099933
102,PLASTIC BOTTLES RRMWYF.,346.002238,511.6714732835407,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,3249.1138553504834
103,PLASTIC BOTTLES RRMWYF.,389.745849,576.3599504925005,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,3659.885685627378
104,PLASTIC BOTTLES GZYEEKY.,6314.087706,8299.918767260948,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,52704.48417210702
105,PLASTIC BOTTLES GZYEEKY.,664.638658,873.6728293684127,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,5547.822466489421
106,PLASTIC BOTTLES GZYEEKY.,1329.285498,1747.3564140412366,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,11095.71322916185
107,PLASTIC BOTTLES GZYEEKY.,5981.772468,7863.087730228946,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,49930.60708695381
108,PLASTIC BOTTLES GZYEEKY.,1661.600736,2184.1874510732378,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,13869.590314315059
109,PLASTIC BOTTLES GZYEEKY.,664.638658,873.6728293684127,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,5547.822466489421
110,PLASTIC BOTTLES GZYEEKY.,5317.125628,6989.404145556125,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,44382.71632428139
111,PLASTIC BOTTLES GZYEEKY.,6314.087706,8299.918767260948,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,52704.48417210702
112,PLASTIC BOTTLES GZYEEKY.,4652.48697,6115.731316187711,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,38834.89385779196
113,PLASTIC BOTTLES GZYEEKY.,2032.092626,2671.2020023609703,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,16962.13271499216
114,PLASTIC BOTTLES GZYEEKY.,3048.14303,4006.808381193661,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,25443.233220579743
115,PLASTIC BOTTLES GZYEEKY.,6434.974983,8458.826059305995,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,53713.54547659306
116,PLASTIC BOTTLES GZYEEKY.,2032.092626,2671.2020023609703,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,16962.13271499216
117,PLASTIC BOTTLES GZYEEKY.,1983.426804,2607.2303902849844,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,16555.91297830965
118,PLASTIC BOTTLES GZYEEKY.,3725.5126939999996,4897.216219726596,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,31097.322995263883
119,PLASTIC BOTTLES GZYEEKY.,1983.426804,2607.2303902849844,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,16555.91297830965
120,PLASTIC BOTTLES GZYEEKY.,2975.136115,3910.840207775272,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,24833.835319372978
121,PLASTIC BOTTLES GZYEEKY.,330.572498,434.54019136973517,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,2759.3302151978182
122,PLASTIC BOTTLES GZYEEKY.,991.709311,1303.609817490287,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,8277.922341063322
123,PLASTIC BOTTLES GZYEEKY.,661.136813,869.0696261205519,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,5518.592125865504
124,PLASTIC BOTTLES GZYEEKY.,330.572498,434.54019136973517,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,2759.3302151978182
125,PLASTIC BOTTLES GZYEEKY.,330.572498,434.54019136973517,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,2759.3302151978182
126,PLASTIC BOTTLES GZYEEKY.,634.103882,833.5346222073562,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,5292.944851016711
127,PLASTIC BOTTLES GZYEEKY.,2536.407346,3334.1277335250134,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,21171.711107883835
128,PLASTIC BOTTLES GZYEEKY.,1557.95268,2047.9412528509613,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,13004.426955603603
129,PLASTIC BOTTLES GZYEEKY.,1663.989845,2187.3279539533746,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,13889.532507603928
130,PLASTIC BOTTLES GZYEEKY.,1557.95268,2047.9412528509613,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,13004.426955603603
131,PLASTIC BOTTLES GZYEEKY.,1663.989845,2187.3279539533746,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,13889.532507603928
132,PLASTIC BOTTLES GZYEEKY.,5324.759322,6999.438697346388,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,44446.43572814956
133,PLASTIC BOTTLES GZYEEKY.,6785.527632,8919.630318895754,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,56639.65252498803
134,PLASTIC BOTTLES GZYEEKY.,3278.618408,4309.770108100936,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Packaging,Plastic,27367.040186440943
135,,22575.860258,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
136,,22575.860258,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
137,,22575.860258,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
138,,61004.906345,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
139,,61004.906345,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
140,,61004.906345,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
141,,67302.17343,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
142,,67302.17343,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
143,,67302.17343,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
144,,66909.809542,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
145,,66909.809542,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
146,,66909.809542,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
147,,66909.809542,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
148,PLASTIC BOTTLES CARUID,6224.700695000001,11540.724764248602,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,73283.60225297861
149,PLASTIC BOTTLES CARUID,2560.995661,4748.139307288559,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,30150.68460128235
150,PLASTIC BOTTLES CARUID,1385.753029,2569.214984386138,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,16314.515150851976
151,PLASTIC BOTTLES CARUID,5543.020977,10276.876366023149,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,65258.164924246994
152,PLASTIC BOTTLES CARUID,2078.633974,3853.8306908185054,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,24471.82488669751
153,PLASTIC BOTTLES CARUID,6928.782867,12846.107778887883,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,81572.78439593806
154,PLASTIC BOTTLES CARUID,2078.633974,3853.8306908185054,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,24471.82488669751
155,PLASTIC BOTTLES CARUID,1385.753029,2569.214984386138,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,16314.515150851976
156,PLASTIC BOTTLES CARUID,11432.491288,21196.077014668088,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,134595.08904314236
157,PLASTIC BOTTLES CARUID,7968.095423,14773.014909130829,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,93808.64467298075
158,,66909.809542,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
159,,59545.631859,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
160,,59545.631859,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
161,,59545.631859,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
162,,59545.631859,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
163,,59545.631859,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
164,,54292.571576,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
165,,66917.70995,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
166,,61004.906345,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
167,,66917.70995,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
168,,61004.906345,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
169,,22575.860258,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
170,,22575.860258,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
171,PLASTIC BOTTLES CARUID,9353.857314,17342.246323849584,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,110123.26415644486
172,PLASTIC BOTTLES CARUID,1039.321418,1926.9235605755607,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,12235.96460965481
173,PLASTIC BOTTLES CARUID,7621.654951,14130.707056841655,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,89729.9898109445
174,PLASTIC BOTTLES CARUID,2425.074447,4496.138544961699,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,28550.479760506787
175,PLASTIC BOTTLES CARUID,8660.976369,16057.630617417217,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,101965.95442059932
176,PLASTIC BOTTLES CARUID,11086.050815,20553.76916052489,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,130516.43416933305
177,PLASTIC BOTTLES CARUID,5412.788993,10035.423554636844,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,63724.939571943956
178,PLASTIC BOTTLES CARUID,5412.788993,10035.423554636844,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,63724.939571943956
179,PLASTIC BOTTLES CARUID,3788.947864,7024.78827289408,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,44607.405532877405
180,PLASTIC BOTTLES CARUID,3641.931763,6752.217358935627,ST,Greiner Packaging Wartberg,Wartberg an der Krems,AT,Raw Materials,Flour & Grain,42876.580229241226
181,,29697.929937,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
182,,29697.929937,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
183,,29697.929937,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
184,,29697.929937,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
185,,29697.929937,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
186,,52892.26376,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
187,,52892.26376,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
188,,52892.26376,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
189,,52892.26376,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
190,,52892.26376,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
191,,41760.282747,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
192,,41760.282747,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
193,,41760.282747,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
194,,41760.282747,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
195,,41760.282747,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
196,,53146.419885,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
197,,53146.419885,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
198,,53146.419885,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
199,,53146.419885,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
200,,53146.419885,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
201,,67967.950687,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
202,,67967.950687,,nan,TIGAS Erdgas Tirol GmbH,Innsbruck,AT,Indirect,Utilities,
